District,district_name,combined_index,nic3_code,nic3_name,rank
2718,Jalna,.10046776,889,Other social work activities without accommodation n.e.c.,2
2718,Jalna,.096208587,102,"Processing and preserving of fish, crustaceans and molluscs",3
2718,Jalna,.094477154,773,"Renting and leasing of other machinery, equip., tangible goods n.e.c.",4
2718,Jalna,.087933913,105,Manufacture of dairy products,5
2718,Jalna,.077172525,241,Manufacture of basic iron and steel,6
2718,Jalna,.068169974,201,"Manufacture of basic chemicals, fertilizer …",7
2718,Jalna,.064940564,104,Manufacture of vegetable and animal oils and fats,8
2718,Jalna,.064886883,14,Animal production,9
2718,Jalna,.05883019,472,"Retail sale of food, beverages and tobacco in specialized stores",10
2719,Aurangabad,.78663909,267,Manufacture of optical instruments and equipment,1
2719,Aurangabad,.70698231,264,Manufacture of consumer electronics,2
2719,Aurangabad,.29099518,201,"Manufacture of basic chemicals, fertilizer …",3
2719,Aurangabad,.2759043,265,"Manufacture of measuring, testing, navigating and control equip …",4
2719,Aurangabad,.27462769,822,Activities of call centres,5
2719,Aurangabad,.26792458,210,"Manufacture of pharmaceuticals, medicinal chemical …",6
2719,Aurangabad,.15115389,591,"Motion picture, video and television programme activities",7
2719,Aurangabad,.14077538,242,Manufacture of basic precious and other non-ferrous metals,8
2719,Aurangabad,.13940068,889,Other social work activities without accommodation n.e.c.,9
2719,Aurangabad,.098982692,102,"Processing and preserving of fish, crustaceans and molluscs",10
2720,Nashik,.37885311,210,"Manufacture of pharmaceuticals, medicinal chemical …",1
2720,Nashik,.33825153,293,Manufacture of parts and accessories for motor vehicles,2
2720,Nashik,.24074847,292,Manufacture of bodies (coachwork) for motor vehicles; trailers …,3
2720,Nashik,.23527016,271,"Manufacture of electric motors, generators, transformers …",4
2720,Nashik,.23442532,241,Manufacture of basic iron and steel,5
2720,Nashik,.1642736,261,Manufacture of electronic components,6
2720,Nashik,.1573022,231,Manufacture of glass and glass products,7
2720,Nashik,.14606167,203,Manufacture of man-made fibres,8
2720,Nashik,.13589399,221,Manufacture of rubber products,9
2720,Nashik,.12849027,620,"Computer programming, consultancy and related activities",10
2721,Thane,.52333522,268,Manufacture of magnetic and optical media,1
2721,Thane,.34836185,303,Manufacture of air and spacecraft and related machinery,2
2721,Thane,.32923424,192,Manufacture of refined petroleum products,3
2721,Thane,.32190213,822,Activities of call centres,4
2721,Thane,.30205494,722,"Research and experimental development on social sci., humanities",5
2721,Thane,.30115774,619,Other telecommunications activities,6
2721,Thane,.28261468,201,"Manufacture of basic chemicals, fertilizer …",7
2721,Thane,.25528646,293,Manufacture of parts and accessories for motor vehicles,8
2721,Thane,.23483233,274,Manufacture of electric lighting equipment,9
2721,Thane,.23355614,131,"Spinning, weaving and finishing of textiles",10
2722,Mumbai Suburban,.55374068,822,Activities of call centres,1
2722,Mumbai Suburban,.37857395,813,Landscape care and maintenance service activities,2
2722,Mumbai Suburban,.36887577,639,Other information service activities,3
2722,Mumbai Suburban,.36164209,871,Nursing care facilities,4
2722,Mumbai Suburban,.32239881,152,Manufacture of footwear,5
2722,Mumbai Suburban,.27929476,591,"Motion picture, video and television programme activities",6
2722,Mumbai Suburban,.27499992,722,"Research and experimental development on social sci., humanities",7
2722,Mumbai Suburban,.26924503,802,Security systems service activities,8
2722,Mumbai Suburban,.26633522,732,Market research and public opinion polling,9
2722,Mumbai Suburban,.25695357,592,Sound recording and music publishing activities,10
2723,Mumbai,.33910844,151,"Tanning and dressing of leather; manuf. of luggage, handbags, …",1
2723,Mumbai,.32049578,464,Wholesale of household goods,2
2723,Mumbai,.31223345,143,Manufacture of knitted and crocheted apparel,3
2723,Mumbai,.25784844,781,Activities of employment placement agencies,4
2723,Mumbai,.25422889,382,Waste treatment and disposal,5
2723,Mumbai,.23751146,370,Sewerage,6
2723,Mumbai,.21888088,812,Cleaning activities,7
2723,Mumbai,.21555829,722,"Research and experimental development on social sci., humanities",8
2723,Mumbai,.21456775,501,Sea and coastal water transport,9
2723,Mumbai,.19700028,466,Other specialized wholesale,10
2724,Raigarh,.83848131,192,Manufacture of refined petroleum products,1
2724,Raigarh,.36782676,241,Manufacture of basic iron and steel,2
2724,Raigarh,.35645401,243,Casting of metals,3
2724,Raigarh,.30080289,201,"Manufacture of basic chemicals, fertilizer …",4
2724,Raigarh,.18535648,203,Manufacture of man-made fibres,5
2724,Raigarh,.18147826,91,Support activities for petroleum and natural gas mining,6
2724,Raigarh,.15055913,202,Manufacture of other chemical products,7
2724,Raigarh,.12471748,210,"Manufacture of pharmaceuticals, medicinal chemical …",8
2724,Raigarh,.10004877,491,Transport via railways,9
2724,Raigarh,.094504163,31,Fishing,10
2725,Pune,.94744778,291,Manufacture of motor vehicles,1
2725,Pune,.80223089,262,Manufacture of computers and peripheral equipment,2
2725,Pune,.42456329,353,Steam and air conditioning supply,3
2725,Pune,.42344755,620,"Computer programming, consultancy and related activities",4
2725,Pune,.38041109,273,Manufacture of wiring and wiring devices,5
2725,Pune,.32351032,309,Manufacture of transport equipment n.e.c.,6
2725,Pune,.26253989,281,Manufacture of general purpose machinery,7
2725,Pune,.24496716,275,Manufacture of domestic appliances,8
2725,Pune,.24336508,293,Manufacture of parts and accessories for motor vehicles,9
2725,Pune,.23800234,712,Technical testing and analysis,10
2726,Ahmadnagar,.21125312,293,Manufacture of parts and accessories for motor vehicles,1
2726,Ahmadnagar,.20753835,429,Construction of other civil engineering projects,2
2726,Ahmadnagar,.2014598,872,"Residential care activities for mental retardation, mental health …",3
2726,Ahmadnagar,.19938585,14,Animal production,4
2726,Ahmadnagar,.15975989,281,Manufacture of general purpose machinery,5
2726,Ahmadnagar,.14071956,103,Processing and preserving of fruit and vegetables,6
2726,Ahmadnagar,.1204178,243,Casting of metals,7
2726,Ahmadnagar,.10333885,292,Manufacture of bodies (coachwork) for motor vehicles; trailers …,8
2726,Ahmadnagar,.093529738,271,"Manufacture of electric motors, generators, transformers …",9
2726,Ahmadnagar,.085673854,210,"Manufacture of pharmaceuticals, medicinal chemical …",10
2727,Bid,.24857651,653,Pension funding,1
2727,Bid,.13242297,14,Animal production,2
2727,Bid,.052739959,472,"Retail sale of food, beverages and tobacco in specialized stores",3
2727,Bid,.045196369,21,Silviculture and other forestry activities,4
2727,Bid,.035166044,492,Other land transport,5
2727,Bid,.033288907,563,Beverage serving activities,6
2727,Bid,.032848105,252,Manufacture of weapons and ammunition,7
2727,Bid,.029951675,478,Retail sale via stalls and markets,8
2727,Bid,.029369066,141,"Manufacture of wearing apparel, except fur apparel",9
2727,Bid,.026371084,462,Wholesale of agricultural raw materials and live animals,10
2728,Latur,.085435428,131,"Spinning, weaving and finishing of textiles",1
2728,Latur,.071784139,431,Demolition and site preparation,2
2728,Latur,.070316419,478,Retail sale via stalls and markets,3
2728,Latur,.057838708,472,"Retail sale of food, beverages and tobacco in specialized stores",4
2728,Latur,.054293573,201,"Manufacture of basic chemicals, fertilizer …",5
2728,Latur,.051773906,104,Manufacture of vegetable and animal oils and fats,6
2728,Latur,.051634226,463,"Wholesale of food, beverages and tobacco",7
2728,Latur,.04475832,492,Other land transport,8
2728,Latur,.044508986,783,"Human resources provision, management of human resources func.",9
2728,Latur,.044418689,477,Retail sale of other goods in specialized stores,10
2729,Osmanabad,.12451916,14,Animal production,1
2729,Osmanabad,.1243898,649,"Other financial service activities, except insurance, pension ….",2
2729,Osmanabad,.077199429,107,Manufacture of other food products,3
2729,Osmanabad,.045144942,472,"Retail sale of food, beverages and tobacco in specialized stores",4
2729,Osmanabad,.043776523,822,Activities of call centres,5
2729,Osmanabad,.041383732,16,Support activities to agriculture and post-harvest crop activities,6
2729,Osmanabad,.038790874,750,Veterinary activities,7
2729,Osmanabad,.037403706,72,Mining of non-ferrous metal ores,8
2729,Osmanabad,.035627861,241,Manufacture of basic iron and steel,9
2729,Osmanabad,.034418233,492,Other land transport,10
2730,Solapur,.68686742,293,Manufacture of parts and accessories for motor vehicles,1
2730,Solapur,.62029684,302,Manufacture of railway locomotives and rolling stock,2
2730,Solapur,.26196682,120,Manufacture of tobacco products,3
2730,Solapur,.22510919,14,Animal production,4
2730,Solapur,.14212878,803,Investigation activities,5
2730,Solapur,.10547041,771,Renting and leasing of motor vehicles,6
2730,Solapur,.10041531,108,Manufacture of prepared animal feeds,7
2730,Solapur,.093517609,382,Waste treatment and disposal,8
2730,Solapur,.089978635,221,Manufacture of rubber products,9
2730,Solapur,.072883181,702,Management consultancy activities,10
2731,Satara,.2838695,302,Manufacture of railway locomotives and rolling stock,1
2731,Satara,.26199809,264,Manufacture of consumer electronics,2
2731,Satara,.24743772,14,Animal production,3
2731,Satara,.18925455,275,Manufacture of domestic appliances,4
2731,Satara,.18460777,309,Manufacture of transport equipment n.e.c.,5
2731,Satara,.18333197,325,Manufacture of medical and dental instruments and supplies,6
2731,Satara,.11536717,108,Manufacture of prepared animal feeds,7
2731,Satara,.11026609,643,"Trusts, funds and other financial vehicles",8
2731,Satara,.10020482,210,"Manufacture of pharmaceuticals, medicinal chemical …",9
2731,Satara,.099879116,271,"Manufacture of electric motors, generators, transformers …",10
2732,Ratnagiri,.24642928,783,"Human resources provision, management of human resources func.",1
2732,Ratnagiri,.23645815,872,"Residential care activities for mental retardation, mental health …",2
2732,Ratnagiri,.13458973,202,Manufacture of other chemical products,3
2732,Ratnagiri,.1179195,264,Manufacture of consumer electronics,4
2732,Ratnagiri,.10647956,151,"Tanning and dressing of leather; manuf. of luggage, handbags, …",5
2732,Ratnagiri,.09040612,31,Fishing,6
2732,Ratnagiri,.080465637,210,"Manufacture of pharmaceuticals, medicinal chemical …",7
2732,Ratnagiri,.071227551,491,Transport via railways,8
2732,Ratnagiri,.063289702,472,"Retail sale of food, beverages and tobacco in specialized stores",9
2732,Ratnagiri,.062277332,23,Gathering of non-wood forest products,10
2733,Sindhudurg,.20760746,71,Mining of iron ores,1
2733,Sindhudurg,.067975797,31,Fishing,2
2733,Sindhudurg,.066788375,522,Support activities for transportation,3
2733,Sindhudurg,.064160898,811,Combined facilities support activities,4
2733,Sindhudurg,.062093537,721,"Research  and  experimental  dev.  on natural sci. , engineering",5
2733,Sindhudurg,.060042698,221,Manufacture of rubber products,6
2733,Sindhudurg,.057528894,872,"Residential care activities for mental retardation, mental health …",7
2733,Sindhudurg,.05553503,353,Steam and air conditioning supply,8
2733,Sindhudurg,.048887871,582,Software publishing,9
2733,Sindhudurg,.045108665,949,Activities of other membership organizations,10
2734,Kolhapur,.29670596,14,Animal production,1
2734,Kolhapur,.1872678,291,Manufacture of motor vehicles,2
2734,Kolhapur,.1627232,432,"Electrical, plumbing and other construction installation activities",3
2734,Kolhapur,.14862785,282,Manufacture of special-purpose machinery,4
2734,Kolhapur,.13447574,131,"Spinning, weaving and finishing of textiles",5
2734,Kolhapur,.11707266,22,Logging,6
2734,Kolhapur,.10112574,932,Other amusement and recreation activities,7
2734,Kolhapur,.092036672,107,Manufacture of other food products,8
2734,Kolhapur,.090319544,91,Support activities for petroleum and natural gas mining,9
2734,Kolhapur,.081188992,89,Mining and quarrying n.e.c.,10
2735,Sangli,.28730795,14,Animal production,1
2735,Sangli,.11937929,473,Retail sale of automotive fuel in specialized stores,2
2735,Sangli,.10589315,24,Support services to forestry,3
2735,Sangli,.096625365,62,Extraction of natural gas,4
2735,Sangli,.068157248,108,Manufacture of prepared animal feeds,5
2735,Sangli,.06624382,252,Manufacture of weapons and ammunition,6
2735,Sangli,.05498144,107,Manufacture of other food products,7
2735,Sangli,.054828662,502,Inland water transport,8
2735,Sangli,.050438222,439,Other specialized construction activities,9
2735,Sangli,.046772841,72,Mining of non-ferrous metal ores,10
